PULocationID,hour,dow,is_weekend,lag_1,lag_24,ma_3,ma_24,predict_hour,pred_rides,LocationID,Borough,Zone,rank_overall
138,0,4,0,132.0,191.0,148.0,81.83333333333333,2025-08-01,0.7728254,138.0,Queens,LaGuardia Airport,1
132,0,4,0,98.0,132.0,109.0,63.458333333333336,2025-08-01,0.52259076,132.0,Queens,JFK Airport,2
230,0,4,0,89.0,78.0,106.0,56.958333333333336,2025-08-01,0.4762671,230.0,Manhattan,Times Sq/Theatre District,3
161,0,4,0,89.0,56.0,114.33333333333331,65.0,2025-08-01,0.42624035,161.0,Manhattan,Midtown Center,4
148,0,4,0,76.0,63.0,75.0,40.708333333333336,2025-08-01,0.4234239,148.0,Manhattan,Lower East Side,5
79,0,4,0,84.0,44.0,86.33333333333333,42.083333333333336,2025-08-01,0.40511912,79.0,Manhattan,East Village,6
234,0,4,0,64.0,57.0,92.66666666666669,52.5,2025-08-01,0.39747098,234.0,Manhattan,Union Sq,7
249,0,4,0,79.0,36.0,83.0,36.208333333333336,2025-08-01,0.38092187,249.0,Manhattan,West Village,8
61,0,4,0,69.0,45.0,72.33333333333333,57.75,2025-08-01,0.3607832,61.0,Brooklyn,Crown Heights North,9
37,0,4,0,79.0,30.0,61.66666666666666,41.16666666666666,2025-08-01,0.35286567,37.0,Brooklyn,Bushwick South,10
231,0,4,0,71.0,32.0,79.0,50.91666666666666,2025-08-01,0.34487325,231.0,Manhattan,TriBeCa/Civic Center,11
181,0,4,0,78.0,21.0,58.66666666666666,41.375,2025-08-01,0.34168968,181.0,Brooklyn,Park Slope,12
164,0,4,0,68.0,33.0,66.66666666666667,46.708333333333336,2025-08-01,0.33611575,164.0,Manhattan,Midtown South,13
255,0,4,0,60.0,32.0,65.66666666666667,36.625,2025-08-01,0.305359,255.0,Brooklyn,Williamsburg (North Side),14
68,0,4,0,56.0,41.0,60.66666666666666,48.04166666666666,2025-08-01,0.30302334,68.0,Manhattan,East Chelsea,15
246,0,4,0,47.0,33.0,61.66666666666666,43.125,2025-08-01,0.2672705,246.0,Manhattan,West Chelsea/Hudson Yards,16
256,0,4,0,45.0,36.0,50.0,32.791666666666664,2025-08-01,0.2519945,256.0,Brooklyn,Williamsburg (South Side),17
97,0,4,0,58.0,30.0,47.333333333333336,28.20833333333333,2025-08-01,0.2413191,97.0,Brooklyn,Fort Greene,18
76,0,4,0,46.0,30.0,48.66666666666666,53.125,2025-08-01,0.2332578,76.0,Brooklyn,East New York,19
112,0,4,0,49.0,24.0,47.333333333333336,39.0,2025-08-01,0.22751921,112.0,Brooklyn,Greenpoint,20
