incident_zip,demand_volume,constraint_volume,demand_norm,constraint_norm,final_score,action
10452,1720.0,400.0,1.0,0.20273694880892043,100.0,⭐⭐⭐⭐⭐ 強烈建議 (熱點且路順)
10456,1560.0,364.0,0.9069767441860465,0.18449062341611758,92.22,⭐⭐⭐⭐⭐ 強烈建議 (熱點且路順)
10457,1458.0,376.0,0.8476744186046512,0.1905727318803852,86.57,⭐⭐⭐⭐⭐ 強烈建議 (熱點且路順)
10453,1379.0,378.0,0.8017441860465117,0.1915864166244298,82.34,⭐⭐⭐⭐⭐ 強烈建議 (熱點且路順)
10468,1310.0,474.0,0.7616279069767442,0.2402432843385707,76.77,⭐⭐⭐⭐ 推薦前往
10029,1065.0,142.0,0.6191860465116279,0.07197161682716675,70.35,⭐⭐⭐⭐ 推薦前往
10031,1035.0,292.0,0.6017441860465116,0.1479979726305119,65.78,⭐⭐⭐⭐ 推薦前往
10032,1054.0,368.0,0.6127906976744186,0.1865179929042068,65.28,⭐⭐⭐⭐ 推薦前往
10467,1108.0,577.0,0.6441860465116279,0.2924480486568677,64.0,⭐⭐⭐⭐ 推薦前往
10033,893.0,180.0,0.5191860465116279,0.0912316269640142,60.46,⭐⭐⭐⭐ 推薦前往
10458,953.0,436.0,0.5540697674418604,0.22098327420172326,58.57,⭐⭐ 普通 (穩定區域)
10460,884.0,358.0,0.513953488372093,0.18144956918398378,56.46,⭐⭐ 普通 (穩定區域)
10040,746.0,149.0,0.43372093023255814,0.07551951343132286,53.28,⭐⭐ 普通 (穩定區域)
11221,842.0,436.0,0.48953488372093024,0.22098327420172326,52.68,⭐⭐ 普通 (穩定區域)
11206,715.0,295.0,0.41569767441860467,0.14951849974657883,48.73,⭐⭐ 普通 (穩定區域)
11211,723.0,330.0,0.42034883720930233,0.16725798276735934,48.46,⭐⭐ 普通 (穩定區域)
11226,846.0,664.0,0.49186046511627907,0.3365433350228079,48.37,⭐⭐ 普通 (穩定區域)
11212,708.0,305.0,0.4116279069767442,0.15458692346680183,48.16,⭐⭐ 普通 (穩定區域)
11237,732.0,416.0,0.4255813953488372,0.21084642676127724,47.24,⭐⭐ 普通 (穩定區域)
10034,649.0,200.0,0.37732558139534883,0.10136847440446022,47.11,⭐⭐ 普通 (穩定區域)
11233,644.0,361.0,0.3744186046511628,0.18297009630005068,43.66,⭐⭐ 普通 (穩定區域)
10002,592.0,258.0,0.34418604651162793,0.13076533198175366,42.94,⭐⭐ 普通 (穩定區域)
10027,577.0,258.0,0.3354651162790698,0.13076533198175366,42.14,⭐⭐ 普通 (穩定區域)
10463,762.0,802.0,0.44302325581395346,0.4064875823618855,41.17,⭐⭐ 普通 (穩定區域)
11225,568.0,298.0,0.3302325581395349,0.15103902686264573,40.87,⭐⭐ 普通 (穩定區域)
11216,536.0,220.0,0.3116279069767442,0.11150532184490623,40.72,⭐⭐ 普通 (穩定區域)
11429,499.0,172.0,0.29011627906976745,0.08717688798783578,39.71,⚠️避開 (需求低或交通嚴重受阻)
11368,795.0,970.0,0.4622093023255814,0.49163710086163204,39.59,⚠️避開 (需求低或交通嚴重受阻)
10472,598.0,463.0,0.34767441860465115,0.23466801824632538,39.19,⚠️避開 (需求低或交通嚴重受阻)
10026,457.0,141.0,0.26569767441860465,0.07146477445514444,38.09,⚠️避開 (需求低或交通嚴重受阻)
10030,400.0,98.0,0.23255813953488372,0.0496705524581855,35.92,⚠️避開 (需求低或交通嚴重受阻)
11207,659.0,806.0,0.38313953488372093,0.40851495184997466,35.63,⚠️避開 (需求低或交通嚴重受阻)
10455,477.0,324.0,0.27732558139534885,0.16421692853522554,35.53,⚠️避開 (需求低或交通嚴重受阻)
10459,432.0,219.0,0.25116279069767444,0.11099847947288394,35.22,⚠️避開 (需求低或交通嚴重受阻)
10039,374.0,73.0,0.21744186046511627,0.036999493157627975,35.04,⚠️避開 (需求低或交通嚴重受阻)
10462,533.0,517.0,0.30988372093023253,0.26203750633552964,34.67,⚠️避開 (需求低或交通嚴重受阻)
11208,691.0,950.0,0.40174418604651163,0.481500253421186,34.47,⚠️避開 (需求低或交通嚴重受阻)
11213,455.0,325.0,0.26453488372093026,0.16472377090724785,34.34,⚠️避開 (需求低或交通嚴重受阻)
10451,442.0,306.0,0.2569767441860465,0.15509376583882412,34.02,⚠️避開 (需求低或交通嚴重受阻)
10009,373.0,156.0,0.21686046511627907,0.07906741003547897,33.34,⚠️避開 (需求低或交通嚴重受阻)
11433,417.0,321.0,0.2424418604651163,0.16269640141915864,32.4,⚠️避開 (需求低或交通嚴重受阻)
10473,399.0,389.0,0.23197674418604652,0.1971616827166751,30.1,⚠️避開 (需求低或交通嚴重受阻)
10025,321.0,188.0,0.1866279069767442,0.0952863659401926,29.94,⚠️避開 (需求低或交通嚴重受阻)
11434,423.0,466.0,0.24593023255813953,0.23618854536239228,29.84,⚠️避開 (需求低或交通嚴重受阻)
11420,558.0,843.0,0.3244186046511628,0.4272681196147998,29.53,⚠️避開 (需求低或交通嚴重受阻)
10016,263.0,111.0,0.15290697674418605,0.05625950329447542,28.39,⚠️避開 (需求低或交通嚴重受阻)
